About,About,
Category,Kategorie,
Category Color,Kategoriefarbe,
Category Name,Kategoriename,
Category Number,Kategorienummer,
City/Town,Ort/ Wohnort,
Color of Tree Species,Farbe der Baumart,
Customer,Kunde,
Diameter,Durchmesser,
Disabled,Deaktiviert,
Display Name,Anzeigename/Kurzname,
Email Address,E-Mail-Adresse,
Field,Feld,
Field Color,Feldfarbe,
Field Name,Feldname,
Field Number,Feldnummer,
First Name,Vorname,
Frappe Support,Frappe Support,
Grave,Ruheplatz,
House Number,Hausnummer,
Keyboard Shortcuts,Keyboard Shortcuts,
Last Name,Nachname,
Log out,Abmelden,
Master Data,Stammdaten,
Max. Diameter [cm],Max. Durchmesser [cm],
Min. Diameter [cm],Min. Durchmesser [cm],
Mobile No,Mobilfunknummer,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Phone,Telefon,
Postal Code,Postleitzahl,
Reload,Neu laden,
Rest Tree,Ruhebaum,
Salutation,Anrede,
Session Defaults,Session Defaults,
Street,Straße,
System Manager,System Manager,
Toggle Full Width,Toggle Full Width,
Toggle Theme,Toggle Theme,
Tree Number,Baumnummer,
Tree Register,Baumkataster,
Tree Species,Baumart,
View Website,View Website,
